id,form_id,survey_id,lat,lng,address,state,country,continent
156561057812-4,347,1565610578-4,20.303597,85.39558,NULL,NULL,NULL,NULL
156561057912-4,347,1565610579-4,20.30094,85.403639,NULL,NULL,NULL,NULL
156561058012-4,347,1565610580-4,20.3052,85.404978,NULL,NULL,NULL,NULL
156561058112-4,347,1565610581-4,20.300261,85.405209,NULL,NULL,NULL,NULL
156561058212-4,347,1565610582-4,20.50155,85.67651,NULL,NULL,NULL,NULL
156561058312-4,347,1565610583-4,20.56112,85.77056,NULL,NULL,NULL,NULL
156561058412-4,347,1565610584-4,20.55871,85.77173,NULL,NULL,NULL,NULL
156561058512-4,347,1565610585-4,20.55733,85.76557,NULL,NULL,NULL,NULL
156561058612-4,347,1565610586-4,20.55596,85.77173,NULL,NULL,NULL,NULL
156561058712-4,347,1565610587-4,20.5605,85.76459,NULL,NULL,NULL,NULL
156561058812-4,347,1565610588-4,20.5664,85.76651,NULL,NULL,NULL,NULL
156561058912-4,347,1565610589-4,20.55904,85.7638,NULL,NULL,NULL,NULL
156561059012-4,347,1565610590-4,20.56328,85.7694,NULL,NULL,NULL,NULL
156561059112-4,347,1565610591-4,20.55881,85.76889,NULL,NULL,NULL,NULL
156561059212-4,347,1565610592-4,20.55986,85.76633,NULL,NULL,NULL,NULL
156561059312-4,347,1565610593-4,20.52937,85.83716,NULL,NULL,NULL,NULL
156561059412-4,347,1565610594-4,20.52449,85.83642,NULL,NULL,NULL,NULL
156561059512-4,347,1565610595-4,20.53056,85.83839,NULL,NULL,NULL,NULL
156561059612-4,347,1565610596-4,20.53076,85.83857,NULL,NULL,NULL,NULL
156561059712-4,347,1565610597-4,20.54269,85.82163,NULL,NULL,NULL,NULL
156561059812-4,347,1565610598-4,25.054269,85.82165,NULL,NULL,NULL,NULL
156561059912-4,347,1565610599-4,20.52454,85.83639,NULL,NULL,NULL,NULL
156561060012-4,347,1565610600-4,20.52013,85.83907,NULL,NULL,NULL,NULL
156561060112-4,347,1565610601-4,20.52012,85.83906,NULL,NULL,NULL,NULL
156561060212-4,347,1565610602-4,20.5478,85.82924,NULL,NULL,NULL,NULL
156561060312-4,347,1565610603-4,20.5628337,85.75369111,NULL,NULL,NULL,NULL
156561060412-4,347,1565610604-4,20.56291388,85.78387121,NULL,NULL,NULL,NULL
156561060512-4,347,1565610605-4,20.56667131,85.75141369,NULL,NULL,NULL,NULL
156561060612-4,347,1565610606-4,20.56273137,85.75349089,NULL,NULL,NULL,NULL
156561060712-4,347,1565610607-4,20.56283138,85.75359101,NULL,NULL,NULL,NULL
156561060812-4,347,1565610608-4,20.56158242,85.75733629,NULL,NULL,NULL,NULL
156561060912-4,347,1565610609-4,20.56635273,85.74995142,NULL,NULL,NULL,NULL
156561061012-4,347,1565610610-4,20.56818421,85.75075321,NULL,NULL,NULL,NULL
156561061112-4,347,1565610611-4,20.57287231,85.75122369,NULL,NULL,NULL,NULL
156561061212-4,347,1565610612-4,20.56224885,85.75337525,NULL,NULL,NULL,NULL
156561061312-4,347,1565610613-4,20.50816,85.58098,NULL,NULL,NULL,NULL
156561061412-4,347,1565610614-4,20.508055,85.58105,NULL,NULL,NULL,NULL
156561061512-4,347,1565610615-4,20.50802,85.581183,NULL,NULL,NULL,NULL
156561061612-4,347,1565610616-4,20.508,85.5813,NULL,NULL,NULL,NULL
156561061712-4,347,1565610617-4,20.508115,85.58136,NULL,NULL,NULL,NULL
156561061812-4,347,1565610618-4,20.507876,85.581413,NULL,NULL,NULL,NULL
156561061912-4,347,1565610619-4,20.5078,85.58154,NULL,NULL,NULL,NULL
156561062012-4,347,1565610620-4,20.50779,85.581648,NULL,NULL,NULL,NULL
156561062112-4,347,1565610621-4,20.56764,85.581638,NULL,NULL,NULL,NULL
156561062212-4,347,1565610622-4,20.50745,85.58153,NULL,NULL,NULL,NULL
156561062312-4,347,1565610623-4,20.529641,85.59985,NULL,NULL,NULL,NULL
156561062412-4,347,1565610624-4,20.52962,85.59985,NULL,NULL,NULL,NULL
156561062512-4,347,1565610625-4,20.52975,85.59981,NULL,NULL,NULL,NULL
156561062612-4,347,1565610626-4,20.52976,85.599935,NULL,NULL,NULL,NULL
156561062712-4,347,1565610627-4,20.529761,85.59999,NULL,NULL,NULL,NULL
156561062812-4,347,1565610628-4,20.52979,85.600055,NULL,NULL,NULL,NULL
156561062912-4,347,1565610629-4,20.52984,85.6001,NULL,NULL,NULL,NULL
156561063012-4,347,1565610630-4,20.52994,85.600126,NULL,NULL,NULL,NULL
156561063112-4,347,1565610631-4,20.529958,85.600616,NULL,NULL,NULL,NULL
156561063212-4,347,1565610632-4,20.529638,85.600715,NULL,NULL,NULL,NULL
156561063312-4,347,1565610633-4,20.529967,85.598502,NULL,NULL,NULL,NULL
156561063412-4,347,1565610634-4,20.5299966,85.598802,NULL,NULL,NULL,NULL
156561063512-4,347,1565610635-4,20.5299997,85.598515,NULL,NULL,NULL,NULL
156561063612-4,347,1565610636-4,20.530006,85.598501,NULL,NULL,NULL,NULL
156561063712-4,347,1565610637-4,20.530045,85.598464,NULL,NULL,NULL,NULL
156561063812-4,347,1565610638-4,20.529909,85.598,NULL,NULL,NULL,NULL
